# shortest-path transport snapshot v1
# generated_at	2026-04-19T07:22:45.116651021Z
# current_location	3159,3489,0
state	origin_x	origin_y	origin_plane	destination_x	destination_y	destination_plane	type	duration	display_info	object_info	consumable	max_wilderness_level
WITHOUT_BANK	2119	5258	0	2146	5287	0	TELEPORTATION_PORTAL	1		Use Portal 23707	false	-1
WITHOUT_BANK	3142	4595	1	3140	4595	1	TRANSPORT	0		Jump-to Ledge 20562	false	-1
WITHOUT_BANK	3142	4595	1	3144	4595	1	TRANSPORT	0		Jump-to Pillar 20545	false	-1
WITHOUT_BANK	3168	3523	0	3168	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3168	2819	0	3168	2816	0	TRANSPORT	3		Go-through Shantay pass 41863	false	-1
WITHOUT_BANK	3169	3171	0	3169	9571	0	TRANSPORT	2		Climb-down Dark hole 5947	false	-1
WITHOUT_BANK	3169	3523	0	3169	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3140	4595	1	3142	4595	1	TRANSPORT	0		Jump-to Pillar 20546	false	-1
WITHOUT_BANK	3170	3523	0	3170	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3171	3523	0	3171	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3172	3523	0	3172	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3110	3363	2	2677	5214	2	TELEPORTATION_PORTAL	1		Enter Interdimensional rift 11355	false	-1
WITHOUT_BANK	3173	3523	0	3173	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3111	3363	2	2677	5214	2	TELEPORTATION_PORTAL	1		Enter Interdimensional rift 11355	false	-1
WITHOUT_BANK	3174	3523	0	3174	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3168	4579	0	3168	4586	0	TRANSPORT	0		Enter Passageway 20523	false	-1
WITHOUT_BANK	3175	3523	0	3175	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3176	3523	0	3176	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3104	9331	2	3105	9332	1	TRANSPORT	2		Climb-down Ladder 11042	false	-1
WITHOUT_BANK	3177	3523	0	3177	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3148	4595	1	3146	4595	1	TRANSPORT	0		Jump-to Pillar 20544	false	-1
WITHOUT_BANK	3148	4595	1	3148	4597	1	TRANSPORT	0		Jump-to Pillar 20542	false	-1
WITHOUT_BANK	3178	3523	0	3178	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3179	3523	0	3179	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3169	9571	0	3169	3171	0	TRANSPORT	2		Climb Climbing rope 5946	false	-1
WITHOUT_BANK	3146	4595	1	3144	4595	1	TRANSPORT	0		Jump-to Pillar 20545	false	-1
WITHOUT_BANK	3146	4595	1	3148	4595	1	TRANSPORT	0		Jump-to Pillar 20543	false	-1
WITHOUT_BANK	3180	3523	0	3180	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3181	3523	0	3181	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	2121	5258	0	2146	5287	0	TELEPORTATION_PORTAL	1		Use Portal 23707	false	-1
WITHOUT_BANK	3144	4595	1	3146	4595	1	TRANSPORT	0		Jump-to Pillar 20544	false	-1
WITHOUT_BANK	3144	4595	1	3142	4595	1	TRANSPORT	0		Jump-to Pillar 20546	false	-1
WITHOUT_BANK	3144	4595	1	3144	4597	1	TRANSPORT	0		Jump-to Pillar 20547	false	-1
WITHOUT_BANK	3182	3523	0	3182	3520	0	TRANSPORT	4		Cross Wilderness Ditch 23271	false	-1
WITHOUT_BANK	3182	3043	0	3311	3109	0	MAGIC_CARPET	77	1: Shantay Pass	Travel Rug Merchant 18	false	-1
